topic_label,rating,analysis_text
Product did not work as expected,1,This didn't work at all did not get one blackhead off so I thought if I used it multiple times it would but still didn't
Product did not work as expected,2,"This didn't work out for me. Seems well made, but I didn't like the texture or color."
General dissatisfaction (residual),1,These sting my face really bad. They are not soothing at all! Disappointed. I used one of these wipes and can’t use them again. Not good for sensitive skin at all! Do not buy!
General dissatisfaction (residual),1,These are terrible. I have to use two to three wipes to get all my makeup off and they are really rough on your face. The smell is gross....but I think most rose water smells are so that's not a bad mark on this product I just don't like it. I would not recommend. I threw them out
Poor value for money,1,Waste of money. There are wayyyy better face masks than this and those and probably better for your skin. Just don't waste your money.
Poor value for money,1,When you use the tattoos they don't stay on your head they ball up it's a waste of money don't waste your time or money
Limited durability or staying power,2,It does not work......the heads does not do anything to the nails it is too cheap.
Limited durability or staying power,1,Doesn’t work at all. The pieces don’t even line up. It doesn’t cut or grab. Literally does nothing
Hair-product quality concerns,1,at first the hair was soft with no weird smell. After installing the hair even after using a heat protector it would almost melt the hair?? I don’t believe it is 100% human hair. Hair tangled 2 days in even when heat was not put on the hair and the ends were fried. Would not recommend getting this hair unless you’re out of options and need a solution quickly.
Hair-product quality concerns,1,This is the second time I’ve ordered this hair. This time was terrible. The locs are extremely curly so it doesn’t look like 24 inches. It looks more like 16 inches. They’re also tangled. The hair is NOT supposed to be that curly. The quality of the actual hair varies per pack. I’m currently at a hair appt and the hair is horrible. The loops are too wide. I’m going to have to go to the hair store to buy a different set of hair Smfh. The hair is soft. That’s about it.
